Id,SalePrice
1461,124600.43724186966
1462,157443.50457786856
1463,188701.52235768377
1464,201910.16747669497
1465,199618.33639339515
1466,172371.9962895054
1467,175151.21344691125
1468,165906.13547607796
1469,194320.9982701674
1470,119401.34570846014
1471,186220.55306678647
1472,97106.33570355325
1473,95928.71826391382
1474,150072.65420827433
1475,118004.05693601684
1476,341364.9609740488
1477,242232.36885619847
1478,297474.61309928057
1479,282989.9820058251
1480,562714.5968875696
1481,331409.2394659895
1482,217165.62793404158
1483,173537.02542574907
1484,167487.73069333108
1485,184149.44023933954
1486,194264.59487916273
1487,323119.31602646434
1488,232558.5545603447
1489,188151.47318974973
1490,232514.8558147998
1491,196163.57774910174
1492,94902.96402091601
1493,173663.95947779366
1494,277074.9559119152
1495,279336.9940871622
1496,235746.15195654202
1497,195215.3003497243
1498,174759.22870134955
1499,170949.5901618504
1500,167161.5167228045
1501,186404.05197867542
1502,159862.51540955825
1503,275152.245222224
1504,241653.1504988168
1505,225572.052229211
1506,185586.838978187
1507,259058.9950993235
1508,200770.0435129927
1509,157710.48494445224
1510,145957.81609652928
1511,146581.13281009742
1512,171136.91974180148
1513,145872.89898544984
1514,156803.2421986429
1515,195174.4681077271
1516,142612.1542661962
1517,171619.49314350155
1518,132104.1862873423
1519,213335.53864331063
1520,129419.10510754764
1521,128445.21014632318
1522,176019.59669888607
1523,119521.93504523308
1524,117670.88451290615
1525,121093.86294198938
1526,121288.57317422959
1527,116105.66540138496
1528,134788.71888544023
1529,148407.30432961564
1530,195115.79227229767
1531,122188.10973044693
1532,95097.2996630866
1533,147271.96516024083
1534,124141.88409883826
1535,137847.45501021942
1536,101709.99707164345
1537,66898.26948107561
1538,154528.58342060226
1539,189125.24807707907
1540,89218.27717974916
1541,133801.82722651595
1542,148729.28335073858
1543,194586.51119782377
1544,88011.49194325691
1545,121913.76333344751
1546,133906.62785978962
1547,129426.39723043011
1548,135260.6344496125
1549,124271.99232305355
1550,128963.44508339775
1551,102227.42070483332
1552,138898.3382808793
1553,133189.75927424151
1554,116867.60070490974
1555,163176.93340846733
1556,81285.53246198424
1557,104360.45816354145
1558,105655.44612791619
1559,63145.39186173929
1560,130771.7141185681
1561,128241.64901565801
1562,135173.69022856152
1563,120840.226503093
1564,168210.1586039199
1565,143679.69005484311
1566,240892.53343093704
1567,79462.46483140612
1568,249071.670859649
1569,121848.36848884118
1570,137440.41993997325
1571,121825.62599434741
1572,140791.57529603306
1573,226315.24450551748
1574,124734.35009220107
1575,234881.6658590328
1576,216019.89407211865
1577,179916.88469259944
1578,140156.0972863215
1579,151534.36004485455
1580,196600.33388100791
1581,159641.75032528242
1582,124972.2672678083
1583,320564.71591108345
1584,221027.7852767716
1585,139689.09050649428
1586,73562.49842666781
1587,103710.51554173198
1588,152490.61884534507
1589,101703.52989128005
1590,132482.53231556702
1591,93030.65189004375
1592,110546.15420026565
1593,124452.07449277908
1594,135715.7203004149
1595,111164.17977717514
1596,233471.4123494827
1597,194259.84270451608
1598,226171.47625773295
1599,161883.8978889406
1600,154268.43204512622
1601,66788.30441072168
1602,114447.92036810798
1603,69191.38509069021
1604,267465.9046712356
1605,232556.94022568583
1606,158956.7891590274
1607,155047.43187079433
1608,213523.43001232532
1609,176651.31680327377
1610,157287.75731191374
1611,137061.08547810122
1612,173149.78833379774
1613,173573.41515150398
1614,115652.89331459759
1615,89696.49676154506
1616,75540.42165073195
1617,89653.15176671172
1618,122486.46839771193
1619,137555.37112071613
1620,179701.0712010402
1621,136868.72630053046
1622,141293.10112063133
1623,261700.23705342546
1624,212086.66520971866
1625,119279.91389595649
1626,167831.48620698127
1627,195809.62758265692
1628,273087.7476118531
1629,176336.44256536706
1630,396624.55843049305
1631,242547.58778212513
1632,256897.34751562684
1633,170657.32672307172
1634,186952.96139197805
1635,172923.5659894695
1636,152923.92303963404
1637,211300.68925938473
1638,196186.28204153592
1639,181822.37022759145
1640,250877.0152354718
1641,174318.9384186015
1642,245482.336827961
1643,227717.47750411442
1644,234090.19200740245
1645,220388.55380114383
1646,155420.73878178926
1647,149997.08706518545
1648,127496.02797739915
1649,143268.57657585188
1650,120207.13346950688
1651,121099.99176732785
1652,98800.82339055015
1653,102754.52894776227
1654,142810.4425945482
1655,135424.7627079928
